repository_name,date,views,unique
LCModel,2023-12-10,20,2
LCModel,2023-12-11,71,5
LCModel,2023-12-12,38,6
LCModel,2023-12-13,1,1
LCModel,2023-12-14,1,1
LCModel,2023-12-15,2,1
LCModel,2023-12-16,111,2
LCModel,2023-12-17,115,2
LCModel,2023-12-18,5,3
LCModel,2023-12-19,18,2
LCModel,2023-12-20,18,3
LCModel,2023-12-21,38,5
LCModel,2023-12-22,2,2
LCModel,2023-12-23,2,2
LCModel,2023-12-25,3,3
LCModel,2023-12-26,30,6
LCModel,2023-12-27,18,1
LCModel,2024-01-04,4,2
LCModel,2024-01-05,22,5
LCModel,2024-01-08,7,2
LCModel,2024-01-09,38,6
LCModel,2024-01-10,2,2
LCModel,2024-01-11,20,3
LCModel,2024-01-12,5,4
LCModel,2024-01-13,3,1
LCModel,2024-01-14,8,1
LCModel,2024-01-15,28,4
LCModel,2024-01-16,5,3
LCModel,2024-01-17,25,7
LCModel,2024-01-18,2,2
LCModel,2024-01-19,7,2
LCModel,2024-01-20,1,1
LCModel,2024-01-21,19,2
LCModel,2024-01-22,2,2
LCModel,2024-01-23,43,4
LCModel,2024-01-24,91,3
LCModel,2024-01-25,6,2
LCModel,2024-01-26,4,3
LCModel,2024-01-27,17,1
LCModel,2024-01-29,29,3
LCModel,2024-01-30,105,5
LCModel,2024-01-31,2,2
LCModel,2024-02-01,1,1
LCModel,2024-02-02,145,9
LCModel,2024-02-03,5,1
LCModel,2024-02-04,1,1
LCModel,2024-02-05,170,14
LCModel,2024-02-06,58,12
LCModel,2024-02-07,11,5
LCModel,2024-02-08,3,3
LCModel,2024-02-09,1,1
LCModel,2024-02-10,1,1
LCModel,2024-02-11,9,3
LCModel,2024-02-12,8,4
LCModel,2024-02-13,2,2
LCModel,2024-02-14,31,5
LCModel,2024-02-15,26,3
LCModel,2024-02-16,1,1
LCModel,2024-02-17,2,2
LCModel,2024-02-18,1,1
LCModel,2024-02-19,3,3
LCModel,2024-02-20,13,1
LCModel,2024-02-21,7,3
LCModel,2024-02-22,4,4
LCModel,2024-02-23,6,2
LCModel,2024-02-25,2,1
LCModel,2024-02-26,1,1
LCModel,2024-02-27,2,2
LCModel,2024-02-28,7,1
LCModel,2024-02-29,22,3
LCModel,2024-03-01,1,1
LCModel,2024-03-03,60,2
LCModel,2024-03-04,7,3
LCModel,2024-03-05,53,7
LCModel,2024-03-06,7,4
LCModel,2024-03-07,136,4
LCModel,2024-03-08,39,5
LCModel,2024-03-09,1,1
LCModel,2024-03-10,30,5
LCModel,2024-03-11,43,4
LCModel,2024-03-12,87,7
LCModel,2024-03-13,43,5
LCModel,2024-03-14,27,4
LCModel,2024-03-15,9,4
LCModel,2024-03-16,13,3
LCModel,2024-03-17,5,2
LCModel,2024-03-18,29,2
LCModel,2024-03-19,17,2
LCModel,2024-03-20,9,2
LCModel,2024-03-21,47,4
LCModel,2024-03-22,10,1
LCModel,2024-03-24,47,3
LCModel,2024-03-25,32,7
LCModel,2024-03-26,44,3
LCModel,2024-03-27,5,3
LCModel,2024-03-28,10,5
LCModel,2024-03-29,5,1
LCModel,2024-03-30,1,1
LCModel,2024-04-01,4,3
LCModel,2024-04-02,29,4
LCModel,2024-04-03,68,4
