repository_name,date,clones,unique
github-stats-osprey,2022-08-30,1,1
github-stats-osprey,2022-08-31,1,1
github-stats-osprey,2022-09-01,1,1
github-stats-osprey,2022-09-02,1,1
github-stats-osprey,2022-09-03,1,1
github-stats-osprey,2022-09-04,2,2
github-stats-osprey,2022-09-05,1,1
github-stats-osprey,2022-09-06,1,1
github-stats-osprey,2022-09-07,1,1
github-stats-osprey,2022-09-08,1,1
github-stats-osprey,2022-09-09,1,1
github-stats-osprey,2022-09-10,1,1
github-stats-osprey,2022-09-11,1,1
github-stats-osprey,2022-09-12,2,2
github-stats-osprey,2022-09-13,1,1
github-stats-osprey,2022-09-14,1,1
github-stats-osprey,2022-09-15,1,1
github-stats-osprey,2022-09-16,1,1
github-stats-osprey,2022-09-17,1,1
github-stats-osprey,2022-09-18,2,2
github-stats-osprey,2022-09-19,4,3
github-stats-osprey,2022-09-20,2,2
github-stats-osprey,2022-09-21,5,4
github-stats-osprey,2022-09-22,5,4
github-stats-osprey,2022-09-23,1,1
github-stats-osprey,2022-09-24,4,3
github-stats-osprey,2022-09-25,1,1
github-stats-osprey,2022-09-26,1,1
github-stats-osprey,2022-09-27,2,2
github-stats-osprey,2022-09-28,1,1
github-stats-osprey,2022-09-29,3,2
github-stats-osprey,2022-09-30,1,1
github-stats-osprey,2022-10-01,1,1
github-stats-osprey,2022-10-02,2,2
github-stats-osprey,2022-10-03,1,1
github-stats-osprey,2022-10-04,1,1
github-stats-osprey,2022-10-05,2,2
github-stats-osprey,2022-10-06,1,1
github-stats-osprey,2022-10-07,3,2
github-stats-osprey,2022-10-08,3,2
github-stats-osprey,2022-10-09,3,2
github-stats-osprey,2022-10-10,1,1
github-stats-osprey,2022-10-11,1,1
github-stats-osprey,2022-10-12,1,1
github-stats-osprey,2022-10-13,1,1
github-stats-osprey,2022-10-14,1,1
github-stats-osprey,2022-10-15,8,5
github-stats-osprey,2022-10-16,1,1
github-stats-osprey,2022-10-17,3,2
github-stats-osprey,2022-10-18,1,1
github-stats-osprey,2022-10-19,1,1
github-stats-osprey,2022-10-20,7,5
github-stats-osprey,2022-10-21,9,6
github-stats-osprey,2022-10-22,7,5
github-stats-osprey,2022-10-23,8,6
github-stats-osprey,2022-10-24,6,4
github-stats-osprey,2022-10-25,6,4
github-stats-osprey,2022-10-26,7,5
github-stats-osprey,2022-10-27,7,5
github-stats-osprey,2022-10-28,10,7
github-stats-osprey,2022-10-29,1,1
github-stats-osprey,2022-10-30,6,4
github-stats-osprey,2022-10-31,9,5
github-stats-osprey,2022-11-01,7,5
github-stats-osprey,2022-11-02,7,5
github-stats-osprey,2022-11-03,2,2
github-stats-osprey,2022-11-04,10,7
github-stats-osprey,2022-11-05,1,1
github-stats-osprey,2022-11-06,2,2
github-stats-osprey,2022-11-07,3,2
github-stats-osprey,2022-11-08,8,5
github-stats-osprey,2022-11-09,4,3
